nr;kuenstler_id;kuenstler;theoretiker_id;theoretiker;text;frage
37;louise-bourgeois;Louise Bourgeois;jacques-derrida;Jacques Derrida;Louise Bourgeois macht Abwesenheit häufig durch Räume, Gegenstände und körperliche Formen gegenwärtig. Jacques Derridas Begriff der Spur bezeichnet ebenfalls keine einfache Anwesenheit des Vergangenen: Etwas wirkt gegenwärtig, gerade weil das, worauf es verweist, nicht vollständig anwesend ist. Bourgeois gibt dieser paradoxen Struktur Material, Gewicht und Raum. Ein Kleidungsstück, ein Bett oder eine verschlossene Zelle kann etwas adressieren, ohne es zurückzubringen. Doch der wahrgenommene Gegenstand ist selbst vollständig gegenwärtig.;Kann eine Abwesenheit wahrgenommen werden, oder nehmen wir immer nur etwas wahr, das sie gegenwärtig bezeichnet?
38;marina-abramovic;Marina Abramović;gregory-bateson;Gregory Bateson;Marina Abramović verändert häufig wenige Bedingungen einer Situation und beobachtet, was daraus zwischen Körper, Publikum und Umgebung entsteht. Gregory Bateson versteht Information relational: Ein Unterschied wird nur dort relevant, wo er innerhalb eines Zusammenhangs einen weiteren Unterschied macht. Eine minimale Bewegung in einer Performance kann deshalb bedeutender werden als eine große Veränderung außerhalb ihrer Regeln. Die Situation entscheidet mit, welche Differenz überhaupt bemerkbar wird. Abramović fügt Batesons abstrakter Relation jedoch einen verletzlichen Körper hinzu.;Wann wird eine körperliche Veränderung zu Information für einen anderen Körper?
39;marina-abramovic;Marina Abramović;judith-butler;Judith Butler;Marina Abramović bezeichnet ihre Arbeiten ausdrücklich als Performances. Judith Butler meint mit Performativität jedoch etwas anderes: Handlungen werden sozial lesbar, weil sie an bereits bestehende Normen anschließen. Abramović kann Regeln, Dauer und Risiko einer Situation bestimmen, aber nicht von Grund auf festlegen, wie ihr Körper darin gelesen wird. Die Performance ist singulär, ihre soziale Lesbarkeit hat eine längere Geschichte.;Was an einer Performance ist schon vorher lesbar?
40;marina-abramovic;Marina Abramović;karen-barad;Karen Barad;Marina Abramović kann eine Situation so reduzieren, dass Körper, Gegenstände, Raum und Publikum ungewöhnlich stark voneinander abhängig werden. Karen Barad bestreitet, dass Beobachter und Beobachtetes solchen Situationen immer schon als vollständig getrennte Einheiten vorausgehen. Ein Apparat bringt bestimmte Grenzen und Bestimmbarkeiten erst hervor. Abramović scheint dafür ein ideales Beispiel zu liefern und zugleich ein Problem: Ihr Körper bleibt verletzlich, auch wenn seine Bedeutung relational entsteht. Ein Schnitt kann Rollen hervorbringen, aber nicht beliebig rückgängig machen, was körperlich geschehen ist.;Welche Grenzen entstehen erst in der Situation?
41;marina-abramovic;Marina Abramović;michel-serres;Michel Serres;Marina Abramović benutzt den Körper nicht nur als dargestelltes Motiv, sondern als Medium einer Situation mit dem Publikum. Michel Serres interessiert sich dafür, dass Übertragung niemals einfach von einem Punkt zum anderen gelangt: Kanäle enthalten Störungen, Umwege und Vermittlungen. Eine Performance scheint dagegen die Vermittlung möglichst weit zu reduzieren, Körper und Publikum teilen Ort und Zeit. Doch gerade diese scheinbare Unmittelbarkeit braucht Raum, Regeln, Aufmerksamkeit und körperliche Grenzen. Auch Anwesenheit besitzt einen Kanal.;Was bedeutet unmittelbare Begegnung, wenn selbst Anwesenheit Bedingungen ihrer Übertragung braucht?
42;marina-abramovic;Marina Abramović;henri-bergson;Henri Bergson;"Henri Bergson unterscheidet gelebte Dauer von einer Zeit, die in messbare Einheiten zerlegt und wie Stellen nebeneinandergereiht wird. Marina Abramović arbeitet häufig mit festgelegten Zeiträumen, Wiederholung und körperlichem Aushalten. Eine Performance kann in Stunden, Tagen oder Regeln beschrieben werden; damit ist jedoch nicht erfasst, wie diese Zeit für Körper und Publikum vergeht. Gerade die messbare Rahmung macht eine zweite Zeit bemerkbar: Ermüdung, Erwartung, Langeweile, Konzentration und Veränderung besitzen keine gleichförmigen Einheiten. Die Verräumlichung der Zeit stabilisiert die Versuchsanordnung, während ihre Verzeitlichung erst im irreversiblen Vollzug geschieht.";Was misst eine Dauerangabe, und was beginnt erst dort, wo die gemessene Zeit durchlebt werden muss?
43;rebecca-horn;Rebecca Horn;donna-haraway;Donna Haraway;Rebecca Horn verbindet Körper mit Federn, Stäben, Masken und Maschinen. Donna Haraways Cyborg stört gerade die klare Grenze zwischen Organismus und Technik. Horns Erweiterungen illustrieren diese Figur nicht einfach. Sie zeigen körperlich, dass Reichweite, Berührung und Handlung weder nur dem Körper noch nur dem Apparat gehören.;Wann wird eine technische Erweiterung Teil des Körpers?
44;rebecca-horn;Rebecca Horn;heinz-von-foerster;Heinz von Foerster;"Heinz von Foerster macht den Beobachter zum Bestandteil des Beobachtens. Rebecca Horn fügt dieser abstrakten Figur einen veränderbaren Körper hinzu. Ihre Apparate greifen in die Bedingungen ein, unter denen Entfernung, Bewegung und Berührung möglich werden. Damit verändert sich nicht bloß das Beobachtete, sondern der Apparat des Beobachtens selbst. Die Beobachterin kann ihre eigene Position nicht einfach verlassen; sie kann aber deren Bedingungen umbauen.";Kann man anders beobachten, ohne dabei auch zu einer anderen Beobachterin zu werden?
45;rebecca-horn;Rebecca Horn;michel-serres;Michel Serres;Bei Rebecca Horn entstehen Verbindungen durch Verlängerungen, Maschinen, Federn, Stäbe und bewegte Körper. Michel Serres interessiert sich für Passagen, aber ebenso für das Rauschen und die Veränderung, die jede Passage begleiten. Eine Prothese scheint zunächst eine Distanz zu überbrücken. Gleichzeitig erzeugt sie eine neue Distanz: Berührung findet nun über etwas statt, das zwischen Körper und Welt tritt. Verbindung und Trennung entstehen in derselben Operation.;Bringt uns eine Verlängerung näher an etwas heran, oder erzeugt sie eine neue Form des Dazwischen?
46;mona-hatoum;Mona Hatoum;n-katherine-hayles;N. Katherine Hayles;"N. Katherine Hayles kritisiert die Vorstellung, Information könne von ihrer materiellen Verkörperung abgelöst werden, ohne dass dabei etwas Entscheidendes verloren geht. Mona Hatoum lässt vertraute Formen gerade durch Material, Maßstab und räumliche Anordnung ihre Selbstverständlichkeit verlieren. Ein Gegenstand kann als Form eindeutig wiedererkennbar bleiben und für einen Körper dennoch zu etwas völlig anderem werden. Seine Geometrie ließe sich speichern und übertragen; Gewicht, Temperatur, Widerstand, Nähe und mögliche Gefährdung entstehen erst in einer konkreten Verkörperung. Hatoum macht damit sichtbar, dass dieselbe beschreibbare Struktur verschiedene Wahrnehmungssituationen hervorbringen kann.";Was bleibt von einer Form, wenn ihr Material austauschbar wird?
47;mona-hatoum;Mona Hatoum;hannah-arendt;Hannah Arendt;Hannah Arendt beschreibt eine gemeinsame Welt als etwas, das Menschen zugleich verbindet und voneinander trennt, vergleichbar mit einem Tisch, um den verschiedene Positionen versammelt sind. Mona Hatoum verwandelt gerade vertraute Dinge und räumliche Ordnungen immer wieder in prekäre Situationen. Der gemeinsame Gegenstand garantiert dann keine gemeinsame Erfahrung. Menschen können vor demselben Ding stehen und dennoch vollkommen verschieden davon betroffen sein. Räumliche Gemeinsamkeit und geteilte Welt fallen auseinander.;Was macht einen Raum gemeinsam, wenn die Menschen darin nicht unter denselben Bedingungen erscheinen können?
48;mona-hatoum;Mona Hatoum;judith-butler;Judith Butler;Judith Butler untersucht, wie Körper innerhalb sozialer Normen als bestimmte Körper erkennbar und lesbar werden. Mona Hatoum lässt häufig vertraute Ordnungen kippen, sodass ein Gegenstand oder Raum seine gewohnte Lesbarkeit verliert. Diese Irritation betrifft nicht nur Bedeutung, sondern den Körper, der sich dazu verhalten muss. Etwas kann bekannt aussehen und dennoch eine andere Bewegung, Distanz oder Vorsicht verlangen. Wahrnehmung und soziale Lesbarkeit geraten dadurch auseinander.;Was passiert mit einer Norm, wenn der Körper anders handeln muss?
49;doris-salcedo;Doris Salcedo;gilbert-simondon;Gilbert Simondon;Doris Salcedo arbeitet mit Gegenständen und architektonischen Eingriffen, in denen vergangene Gewalt gegenwärtig bleibt, ohne einfach dargestellt zu werden. Gilbert Simondon versteht Formen nicht als endgültige Zustände, sondern als vorläufige Lösungen von Spannungen. Salcedos Arbeiten scheinen dagegen gerade Spannungen zu stabilisieren, die keine Lösung gefunden haben. Möbel, Wände oder Spalten halten etwas fest, das nicht abgeschlossen werden kann. Form wäre hier weniger Lösung als fortgesetzte materielle Unruhe.;Kann eine Form etwas stabilisieren, gerade indem sie verhindert, dass eine Spannung verschwindet?
50;doris-salcedo;Doris Salcedo;gregory-bateson;Gregory Bateson;Gregory Batesons berühmte Bestimmung von Information verlangt einen Unterschied, der einen weiteren Unterschied macht. Doris Salcedo arbeitet häufig mit Abwesenheiten, deren Wirkung gerade darin besteht, dass etwas nicht mehr da ist. Eine Leerstelle kann deshalb einen Unterschied machen, obwohl sie selbst kein anwesendes Objekt ist. Das funktioniert jedoch nur innerhalb eines Zusammenhangs, in dem die Abwesenheit überhaupt bemerkbar wird. Der Kontext macht das Fehlende wirksam.;Kann Abwesenheit Information sein?
51;doris-salcedo;Doris Salcedo;henri-bergson;Henri Bergson;Henri Bergson versteht Vergangenheit nicht als Sammlung abgelegter Zeitpunkte, sondern als etwas, das in der gegenwärtigen Dauer weiterwirkt. Doris Salcedo gibt vergangenen Verlusten materielle Stellen in der Gegenwart. Ihre Arbeiten machen Vergangenheit jedoch nicht wieder gegenwärtig, als ließe sie sich zurückholen. Ein Gegenstand trägt vielmehr eine Differenz, die durch Zeit nicht aufgehoben wurde. Bergsons Dauer und Salcedos materielle Erinnerung treffen sich damit an einer schwierigen Grenze zwischen Fortwirken und Repräsentation.;Wie kann Vergangenheit gegenwärtig wirken, ohne wieder Gegenwart zu werden?
52;doris-salcedo;Doris Salcedo;niklas-luhmann;Niklas Luhmann;"Niklas Luhmann behandelt Vergangenheit als gegenwärtig verfügbare Konstruktion: Was geschehen ist, kann nicht zurückkehren, sondern nur durch gegenwärtige Operationen erinnert und bezeichnet werden. Doris Salcedo konfrontiert diese formale Härte mit Material, Körper und Verlust. Ein Werk kann vergangene Gewalt nicht wiederholen und den verlorenen Menschen nicht zurückbringen. Es kann aber gegenwärtige Bedingungen herstellen, unter denen die Abwesenheit erneut Aufmerksamkeit erhält. Kommunikation übernimmt das vergangene Ereignis nicht; sie organisiert eine neue Gegenwart darum herum.";Was genau kehrt wieder, wenn das Ereignis selbst unwiederholbar bleibt?
53;on-kawara;On Kawara;gilles-deleuze;Gilles Deleuze;"On Kawara wiederholt über Jahrzehnte dieselbe elementare Operation: ein Datum malen, am bezeichneten Tag, nach strengen Regeln; wird das Bild nicht bis Mitternacht fertig, wird es zerstört. Gilles Deleuze trennt Wiederholung vom bloßen Auftreten des Gleichen. Kawara scheint diese Unterscheidung fast experimentell zu prüfen. Die Regel bleibt stabil, während jeder Vollzug einen Tag bezeichnet, der nie wieder eintreten kann. Gerade die extreme Ähnlichkeit der Bilder macht ihre zeitliche Nichtidentität sichtbar.";Ist es die Wiederholung der Form, die uns erkennen lässt, dass sich der Moment niemals wiederholt?
54;on-kawara;On Kawara;jacques-derrida;Jacques Derrida;"On Kawaras Datumsbilder sind radikal eindeutig: Jedes bezeichnet genau den Tag, an dem es hergestellt wurde, und muss innerhalb dieses Tages vollendet sein. Jacques Derrida macht dagegen darauf aufmerksam, dass ein Zeichen gerade deshalb funktionieren kann, weil es seinen ursprünglichen Entstehungsmoment überlebt und in anderen Kontexten wieder lesbar wird. Kawaras Datum vollzieht genau dieses Paradox. 25 SEP. 2026 könnte einen einmaligen Tag bezeichnen und zugleich Jahrzehnte später wieder gelesen werden. Der Moment vergeht; seine Bezeichnung wird wiederholbar.";Was bleibt von einem Moment, wenn nur sein Zeichen weiterlebt?
55;on-kawara;On Kawara;susan-leigh-star;Susan Leigh Star;On Kawara macht Tage adressierbar: Datum, Format und Regeln verwandeln einmalige Lebenszeit in eine geordnete Serie. Die Today-Bilder folgen festgelegten Formaten und Produktionsregeln, während jeder einzelne Tag unwiederholbar bleibt. Susan Leigh Star untersucht Klassifikationen und Infrastrukturen, die heterogene Wirklichkeiten vergleichbar und koordinierbar machen. Der Kalender ist eine solche mächtige Infrastruktur: Milliarden verschiedener Erfahrungen können unter derselben Datumsstelle eingeordnet werden. Kawara benutzt diese Ordnung, ohne zu behaupten, sie enthalte den jeweiligen Tag.;Wie viel Verschiedenheit muss eine Klassifikation ignorieren, damit verschiedene Ereignisse überhaupt dieselbe Stelle teilen können?
56;on-kawara;On Kawara;wendy-hui-kyong-chun;Wendy Hui Kyong Chun;"On Kawara bindet jedes Datumsbild an einen einzigen Tag und eine strenge Regel seiner Herstellung. Wendy Hui Kyong Chun untersucht digitale Medien, die durch permanentes Aktualisieren den Eindruck fortgesetzter Gegenwart erzeugen. Beide verbinden Aktualität mit Wiederholung, aber in entgegengesetzter Weise. Bei Kawara wird jeder Tag abgeschlossen und unwiederbringlich Vergangenheit; im digitalen Update wird das Vergangene fortlaufend überschrieben, damit etwas als gegenwärtig erscheinen kann. Das eine Verfahren sammelt abgeschlossene Gegenwarten, das andere erzeugt Gegenwart durch Erneuerung.";Was wird aus Vergangenheit, wenn Gegenwart nur noch als nächstes Update erscheint?
57;tehching-hsieh;Tehching Hsieh;gilbert-simondon;Gilbert Simondon;Tehching Hsieh unterwirft seinen Alltag über lange Zeiträume einer einzigen Regel. Gilbert Simondon versteht Individuen nicht als fertige Einheiten, sondern als vorläufige Ergebnisse fortgesetzter Individuation. Hsiehs Performances stellen diese Prozesshaftigkeit unter ungewöhnlich starre Bedingungen. Die Regel bleibt gleich, während der Körper, der sie ausführt, sich mit jeder Stunde verändert. Stabil ist damit gerade nicht das Individuum, sondern die Anordnung, innerhalb derer seine Veränderung stattfindet.;Was wird durch eine Regel sichtbar, die länger gleich bleibt als der Körper, der ihr folgt?
58;tehching-hsieh;Tehching Hsieh;jacques-derrida;Jacques Derrida;Tehching Hsieh wiederholt Handlungen unter Regeln, deren Bedeutung gerade aus ihrer fortgesetzten Ausführung entsteht. Jacques Derrida beschreibt Wiederholbarkeit als Bedingung dafür, dass Zeichen und Handlungen über ihren ursprünglichen Kontext hinaus funktionieren können. Bei Hsieh trifft diese Wiederholbarkeit auf Lebenszeit: Der nächste Vollzug kann formal derselbe sein, aber nicht mehr im selben Moment und nicht mit demselben Körper stattfinden. Wiederholung benötigt eine erkennbare Form und produziert zugleich die Spur ihres Vergehens.;Was bedeutet „dasselbe noch einmal“, wenn bereits das Noch-einmal die Bedingungen verändert hat?
59;tehching-hsieh;Tehching Hsieh;karen-barad;Karen Barad;"Karen Barad richtet die Aufmerksamkeit auf Apparate, die nicht einfach neutrale Umgebungen sind, sondern daran mitwirken, welche Unterschiede überhaupt bestimmbar werden. Tehching Hsieh baut für seine Performances geradezu radikale Apparate aus Regel, Uhr, Raum und Körper. Die Stechuhr misst nicht einfach eine bereits vorhandene Performance; sie gehört zu den Bedingungen, unter denen diese Performance entstehen kann. Doch der Körper bleibt nicht beliebig durch die Versuchsanordnung definierbar: Müdigkeit, Alterung und Verletzbarkeit besitzen eigene Konsequenzen.";Welche Unterschiede erzeugt eine Versuchsanordnung, und welche Unterschiede bringt der Körper selbst in sie hinein?
60;donald-judd;Donald Judd;claude-shannon;Claude Shannon;"Donald Judd ordnet klar voneinander unterscheidbare Körper und Abstände; Claude Shannon benötigt klar unterscheidbare Möglichkeiten, um Information mathematisch bestimmen zu können. Bei beiden scheint Differenz zunächst eine Frage präziser Positionen zu sein. Doch Judds Objekte werden nicht als abstrakter Zustandsraum wahrgenommen: Ein Körper bewegt sich an ihnen vorbei, Entfernungen verändern sich, Ansichten verschwinden. Shannon gewinnt Berechenbarkeit, indem er genau diese konkrete Wahrnehmung aus seinem Problem herausnimmt.";Was kommt zu einer bestimmbaren Differenz hinzu, sobald sie von jemandem wahrgenommen werden muss?
61;donald-judd;Donald Judd;gilbert-simondon;Gilbert Simondon;Donald Judds Arbeiten betonen bestimmte Formen, Materialien, Maße und Beziehungen im Raum. Gilbert Simondon interessiert sich dagegen dafür, wie Individuen aus Prozessen hervorgehen und niemals vollständig von ihrer Entstehung getrennt werden können. Judds industriell gefertigte Objekte wirken zunächst wie Gegenargumente: präzise bestimmt und abgeschlossen. Doch auch sie existieren nur durch Material, Fertigung, Architektur, Licht und jeweilige Wahrnehmungssituation. Die bestimmte Form und die Prozesse ihrer Hervorbringung lassen sich unterscheiden, aber nicht vollständig voneinander lösen.;Wann wird ein Prozess zu einem Ding, und was muss dabei unsichtbar werden?
62;donald-judd;Donald Judd;karen-barad;Karen Barad;Karen Barad fragt danach, wie materielle Anordnungen die Grenzen dessen hervorbringen, was in einer Situation bestimmt werden kann. Donald Judd baut Anordnungen, in denen Objekt, Abstand, Wand, Boden und Betrachterposition ungewöhnlich präzise aufeinander bezogen sind. Das Objekt allein reicht deshalb nicht aus, um zu bestimmen, was wahrgenommen wird. Gleichzeitig widersetzt sich Judds konkrete Materialität der Vorstellung, die Grenzen der Situation seien nur Effekte ihrer Beobachtung. Stahl bleibt Stahl, Abstand bleibt körperlich zu durchqueren.;Welche Grenzen werden durch eine Anordnung hergestellt, und welche begegnen ihr als materieller Widerstand?
63;sol-lewitt;Sol LeWitt;judith-butler;Judith Butler;"Sol LeWitts Instruktionen können nur als Werke fortbestehen, indem sie immer wieder ausgeführt werden. Judith Butler beschreibt Normen ebenfalls nicht als starre Dinge, sondern als Ordnungen, die durch wiederholte Vollzüge wirksam bleiben; Performativität ist dabei nicht mit einer einzelnen Performance gleichzusetzen. Bei LeWitt bleibt die Regel erkennbar, obwohl jede Realisierung an einem anderen Ort, durch andere Hände und unter anderen Bedingungen geschieht. Bei Butler erzeugt Wiederholung soziale Lesbarkeit und eröffnet zugleich Möglichkeiten der Verschiebung. So wird eine besondere Zeit der Regel sichtbar: Sie scheint dem einzelnen Vollzug vorauszugehen und kann doch nur fortbestehen, indem sie erneut vollzogen wird.";Kann eine Regel wirklich vor ihren Ausführungen bestehen, wenn sie nur durch ihre Wiederholung wirksam bleibt?
64;sol-lewitt;Sol LeWitt;gilbert-simondon;Gilbert Simondon;Sol LeWitts Instruktion bleibt wiedererkennbar, obwohl jede Ausführung an einem anderen Ort konkret werden kann. Gilbert Simondon beschreibt mit Transduktion Prozesse, in denen eine Struktur sich nicht einfach kopiert, sondern sich Schritt für Schritt unter lokalen Bedingungen fortsetzt. LeWitts Regel wandert durch Wand, Material, Maßstab und ausführende Person. Ihre Identität zeigt sich gerade darin, dass sie verschiedene Realisierungen hervorbringen kann.;Wie wandert eine Regel durch verschiedene Materialien?
65;sol-lewitt;Sol LeWitt;n-katherine-hayles;N. Katherine Hayles;"Sol LeWitts Werk scheint eine radikale Trennung von Information und materiellem Träger zu ermöglichen: Eine Instruktion kann gespeichert, übertragen und an unterschiedlichen Wänden erneut ausgeführt werden. N. Katherine Hayles macht jedoch darauf aufmerksam, dass Information niemals ohne irgendeine Verkörperung erscheint. Auch LeWitts Regel muss geschrieben, gelesen, verstanden und materiell realisiert werden. Die Wand ist deshalb nicht bloß austauschbare Oberfläche; sie verändert Maßstab, Körperbezug und Wahrnehmung.";Was bleibt tatsächlich invariant, wenn dieselbe Information einen anderen Körper annimmt?
66;roman-opalka;Roman Opalka;elena-esposito;Elena Esposito;"Roman Opalka organisiert sein Werk als fortlaufende Zahlenreihe, deren nächster Schritt formal vorhersehbar ist. Elena Esposito untersucht dagegen eine Zukunft, die gerade deshalb Zukunft bleibt, weil sie nicht vollständig bekannt sein kann. Opalkas Verfahren bringt beides in eine klare Spannung. Welche Zahl als nächste kommt, ist sicher; ob und wann sie tatsächlich gemalt werden kann, ist es nicht. Die Ordnung kennt ihre Fortsetzung, der Körper kennt seine Zukunft nicht.";Wie vorhersehbar ist eine Zukunft, die noch nicht eingetreten ist?
67;roman-opalka;Roman Opalka;heinz-von-foerster;Heinz von Foerster;Roman Opalkas nächste Zahl entsteht aus der vorhergehenden und wird wiederum zur Voraussetzung der nächsten. Heinz von Foersters Denken der Rekursion beschreibt genau solche Operationen, deren Resultate erneut in den Prozess eingehen. Doch Opalkas Rekursion besitzt eine Besonderheit: Sie kann nicht zum Ausgangspunkt zurückkehren. Jeder Schritt erweitert die Reihe und verbraucht zugleich Lebenszeit. Rekursion wird damit irreversibel.;Was heißt Wiederkehr, wenn es keine Rückkehr gibt?
68;roman-opalka;Roman Opalka;michel-serres;Michel Serres;"Roman Opalka scheint eine möglichst störungsfreie Passage von einer Zahl zur nächsten zu konstruieren. Michel Serres interessiert sich gerade für das, was in einer Passage dazwischenkommt: Rauschen, Abweichung, Parasit. Bei Opalka sitzt dieses Dazwischen im Körper selbst. Müdigkeit, Stimme, Hand, Alter und schließlich Tod unterbrechen eine mathematisch unbegrenzt fortsetzbare Folge. Die Störung kommt nicht von außen zum System hinzu; sie gehört zu seiner materiellen Ausführung.";Gibt Endlichkeit einer Ordnung erst ihre Geschichte?
69;roman-opalka;Roman Opalka;n-katherine-hayles;N. Katherine Hayles;"Roman Opalkas Zahlen lassen sich problemlos als abstrakte Information notieren und digital nahezu unbegrenzt fortsetzen. Sein Werk tut jedoch etwas anderes: Die Folge wird an einen bestimmten Körper, eine Hand, eine Stimme und eine Lebenszeit gebunden. N. Katherine Hayles' Kritik körperloser Information trifft deshalb einen empfindlichen Punkt. Die Zahlen können den Körper wechseln; das Werk kann es nicht ohne Weiteres.";Wann endet die Identität eines Werks, wenn seine Verkörperung wechselt?
70;roman-opalka;Roman Opalka;susan-leigh-star;Susan Leigh Star;Susan Leigh Star untersucht Klassifikationen und Infrastrukturen, durch die Dinge stabile Stellen erhalten und unterschiedliche Tätigkeiten koordinierbar werden. Roman Opalkas Zahlenreihe scheint die denkbar eindeutigste Klassifikation zu sein: Jede Zahl besitzt genau eine Position. Doch das Werk bindet diese abstrakte Ordnung an einen endlichen Vollzug. Zwischen zwei eindeutig bestimmten Stellen liegt plötzlich etwas, das keine Klassifikation vollständig aufnehmen kann: verbrachte Lebenszeit.;Was verschwindet aus einer Ordnung, wenn sie jedem Ereignis eine eindeutige Stelle geben kann?
71;christian-marclay;Christian Marclay;lucy-suchman;Lucy Suchman;"Christian Marclay montiert in The Clock unzählige bereits produzierte Filmszenen zu einer zeitlichen Ordnung, die erst in der jeweiligen Aufführung mit der tatsächlichen Uhrzeit zusammentrifft. Lucy Suchman unterscheidet zwischen Plänen und situiertem Handeln: Eine Ordnung kann Handlung vorbereiten, aber nicht vollständig vorwegnehmen, was in einer konkreten Situation geschieht. Marclays Montage ist bis ins Detail festgelegt, doch ihre Beziehung zur Gegenwart entsteht jedes Mal neu. 16:23 Uhr ist im Film vorbereitet; dass jemand tatsächlich um 16:23 Uhr davor sitzt, ist ein Ereignis. Die Struktur organisiert die Möglichkeit einer Koinzidenz, ohne deren Erfahrung speichern zu können.";Wie viel eines Ereignisses kann vorbereitet werden, bevor es aufhört, ein Ereignis zu sein?
72;christian-marclay;Christian Marclay;michel-foucault;Michel Foucault;"Christian Marclay ordnet ein riesiges Filmarchiv nach einer einzigen Eigenschaft neu: der dargestellten Uhrzeit. Michel Foucault interessiert sich dafür, dass Archive nicht einfach Vergangenes aufbewahren, sondern Ordnungen herstellen, unter denen etwas auffindbar und sagbar wird. Marclays Montage lässt aus vollkommen verschiedenen Filmen plötzlich benachbarte Momente werden. Handlung, Genre und Entstehungsjahr treten zurück; 14:01 folgt auf 14:00. Eine neue Ordnung erzeugt damit Beziehungen, die im ursprünglichen Material nicht vorhanden waren.";Welche Geschichte erzeugt eine neue Ordnung des Archivs?
73;christian-marclay;Christian Marclay;michel-serres;Michel Serres;Michel Serres interessiert sich für Übertragung, Passage und die Störungen, die dabei entstehen. Christian Marclay arbeitet gerade mit solchen Übergängen: Ein Filmschnitt verbindet Räume, Zeiten und Geschichten, die ursprünglich nichts miteinander zu tun hatten. In The Clock muss der Übergang zugleich eine strenge zeitliche Kontinuität erzeugen. Der Schnitt trennt und verbindet im selben Moment. Was filmisch diskontinuierlich ist, kann dadurch als kontinuierliche Gegenwart erfahren werden.;Entsteht Kontinuität zwischen Ereignissen, oder erst durch die Operation, die sie miteinander verbindet?
74;christian-marclay;Christian Marclay;wendy-hui-kyong-chun;Wendy Hui Kyong Chun;"Christian Marclay erzeugt eine Gegenwart aus bereits aufgezeichneten Bildern; Wendy Hui Kyong Chun untersucht digitale Gegenwart als Effekt permanenter Aktualisierung. Beide stellen damit die vermeintliche Selbstverständlichkeit des „Jetzt“ infrage. Bei Marclay besteht das Jetzt aus Fragmenten vergangener Filme. In digitalen Medien entsteht es aus gespeicherten Daten, früherem Verhalten und immer neuen Updates. Gegenwart wäre dann weniger das Gegenteil von Speicherung als eine besondere Weise, Gespeichertes erneut zu aktualisieren.";Wie viel Vergangenheit braucht ein System, um uns etwas als gegenwärtig zeigen zu können?
75;bruce-nauman;Bruce Nauman;elena-esposito;Elena Esposito;Bruce Nauman setzt Körper, Sprache und Handlungen in Loops, Wiederholungen und begrenzte Situationen. Elena Esposito untersucht Systeme, die aus vergangenen Daten Erwartungen über eine unbekannte Zukunft erzeugen. Ein Loop scheint zunächst das Gegenmodell zur Prognose zu sein: Statt Zukunft zu öffnen, wiederholt er Vergangenes. Doch jede Wiederholung erzeugt zugleich eine Erwartung dessen, was gleich geschehen wird. Je länger die Wiederholung dauert, desto stärker kann die nächste Wiederholung vorhersehbar werden, und desto auffälliger würde eine Abweichung erscheinen.;Wann wird Wiederholung zu einer Prognose?
76;bruce-nauman;Bruce Nauman;gilles-deleuze;Gilles Deleuze;Bruce Nauman wiederholt Bewegungen, Gesten und Sätze so lange, bis ihre scheinbare Identität instabil wird. Gilles Deleuze bestreitet, dass Wiederholung einfach das Gleiche zurückbringt. Naumans Körper liefert dafür einen schwierigen Prüfstein: Eine Anweisung kann gleich bleiben, aber Ermüdung, Aufmerksamkeit und Bewegung verändern sich. Die Wiederholung produziert ihre Differenz teilweise durch ihren eigenen Vollzug. Doch ohne wiedererkennbare Handlung ließe sich diese Veränderung nicht als Differenz derselben Wiederholung beobachten.;Entsteht Differenz trotz der Wiederholung, oder gerade dadurch, dass etwas als Wiederholung erkennbar bleibt?
77;bruce-nauman;Bruce Nauman;niklas-luhmann;Niklas Luhmann;"Niklas Luhmann beschreibt Operationen als Ereignisse, die im Moment ihres Vollzugs bereits wieder verschwinden. Bruce Nauman kann dieselbe Bewegung technisch als Video-Loop scheinbar endlos zurückbringen. Damit treffen zwei verschiedene Zeiten aufeinander. Die Aufzeichnung kehrt zurück; das Wahrnehmungsereignis ihrer Betrachtung tut es nicht. Ein technisch identischer Zustand produziert eine Folge nichtidentischer Gegenwarten.";Was wiederholt sich eigentlich in einem Loop, wenn die Wahrnehmung seiner Wiederholung niemals zurückkehren kann?
78;robert-smithson;Robert Smithson;michel-foucault;Michel Foucault;"Michel Foucault untersucht Institutionen, Archive und räumliche Anordnungen danach, wie sie Dinge, Aussagen und Sichtbarkeiten auf bestimmte Stellen verteilen. Robert Smithsons Site/Non-Site-Arbeiten bringen einen entfernten Ort durch Material, Karte, Behälter und Ausstellung in eine solche Ordnung hinein. Die Galerie zeigt den Ort deshalb nicht einfach; sie zerlegt, adressiert und reorganisiert ihn unter ihren eigenen Bedingungen. Zugleich bleibt die Site außerhalb des Ausstellungsraums bestehen und entzieht sich seiner vollständigen Ordnung. Smithson macht damit sichtbar, dass Verräumlichung nicht nur bedeutet, Dingen einen Platz zu geben, sondern auch festzulegen, unter welcher Ordnung dieser Platz beobachtbar wird.";Was geschieht mit einem Ort, wenn eine Institution ihn neu ordnet?
